Simulation file name, AoA, nBlades, BladeL,Average Static Pressure [Pa],Mass Flow [kg/s],Total Solver Elapsed Time [min],Solver Iteration Elapsed Time [s],Volume Flow [m^3/s],Max Static Pressure [Pa],Surface Average 1 [m/s],Surface Standard Deviation 1 [m/s],RPM Ramp [rpm],Max Y+ Case [],Max Y+ Rotating region [],Minimum Static Pressure [Pa],Mean Average Static Pressure [Pa],
Fan_sim_sweep,90.0,22.0,0.005,-38.8107756887121,0.008102550177804637,9.109038580933337,0.47757365900000004,0.006842503211421389,-10.878715250108144,2.522780546449056,0.3937547967147317,2499.999479889768,5.145937919616699,8.56296157836914,-46.824720071493175,-39.01205672559525,
Fan_sim_sweep,85.0,22.0,0.005,-37.14877145666274,0.008220238588507553,12.993086992933353,0.554828773,0.006941889615764517,-15.833713449803668,2.5481531203355754,0.3751824916948093,2499.999479889768,6.365394592285156,8.335175514221191,-43.884566654321645,-38.90159986077742,
Fan_sim_sweep,80.0,22.0,0.005,-30.5208579288959,0.008394370637441997,12.049487172400006,0.44289811300000004,0.007088941973096311,2.6916986197524864,2.5967610915156927,0.3390803151081275,2499.999479889768,6.1465840339660645,8.791228294372559,-37.39787091008802,-29.59973688689626,
Fan_sim_sweep,75.0,22.0,0.005,-26.03445103620641,0.008181443304983781,9.224171547383332,0.444125768,0.0069091274796130395,9.037024292051655,2.536119807197337,0.32886107583121915,2499.999479889768,5.471714973449707,8.684810638427734,-29.833778225612207,-26.501306096566633,
Fan_sim_sweep,70.0,22.0,0.005,-24.631912639141163,0.00820609686575548,4.603861460333339,0.43585211599999996,0.00692994710615672,7.969017236568519,2.546134568954412,0.31215488175957795,2499.999479889768,5.968571186065674,8.369577407836914,-28.743867270248785,-24.104877999835576,
Fan_sim_sweep,65.0,22.0,0.005,-22.36264085393057,0.0080133413445008,7.928015929649991,0.437687661,0.00676716745724849,2.4879685419404183,2.4810771430092156,0.3087060471676129,2499.999479889768,5.983214855194092,8.31457805633545,-26.32442528620716,-21.802130698715253,
Fan_sim_sweep,60.0,22.0,0.005,-21.989415345400182,0.007996345186748828,12.808357452916662,0.44651091899999995,0.0067528144126578794,-4.159046926510186,2.4743961134611077,0.32990035647683585,2499.999479889768,5.9628753662109375,8.18695068359375,-25.52229210931108,-22.08757926555036,
Fan_sim_sweep,55.0,22.0,0.005,-16.08901680627693,0.0072326265558659945,13.353819363083378,0.44940331899999997,0.006107863493532065,-4.632583817773103,2.2508850222046117,0.3227708281816189,2499.999479889768,5.5517578125,8.790451049804688,-19.316699798690323,-16.47006349967798,
Fan_sim_sweep,50.0,22.0,0.005,-14.374864918203563,0.006931851134596767,8.243666175916665,0.63521904,0.005853862377736576,-4.022871262560805,2.1545887460359503,0.31443492859736694,2499.999479889768,5.802875995635986,7.172236442565918,-18.287598241541318,-13.457972081893145,
Fan_sim_sweep,45.0,22.0,0.005,-17.88296021374876,0.006651089703754655,5.652624411449992,0.44888488600000004,0.005616762828826293,-9.116149182668572,2.0741816986715804,0.38662134394807335,2499.999479889768,5.750757694244385,7.184846878051758,-21.264678677583763,-17.242800395898705,
Fan_sim_sweep,90.0,26.0,0.005,-31.931241958840463,0.008035648109080511,8.905837113883345,0.449074364,0.006786005243491543,0.28792790647364797,2.502888603919072,0.4028709218643151,2499.999479889768,4.468487739562988,7.423175811767578,-38.650449244573416,-31.432849353958044,
Fan_sim_sweep,85.0,26.0,0.005,-34.217666302716815,0.008188447229359498,10.749001807983321,0.517052694,0.006915042206949709,-12.013576178522868,2.559602769573677,0.4303556895221722,2499.999479889768,7.153486251831055,8.26710033416748,-41.83630419837806,-37.859867007074236,
Fan_sim_sweep,80.0,26.0,0.005,-30.058206527224254,0.008124580153506707,10.748743818299978,0.457997529,0.006861107252887477,9.716148278353998,2.5225314262116574,0.3497081320141818,2499.999479889768,8.13572883605957,8.02064037322998,-35.99893516871747,-34.30192623432703,
Fan_sim_sweep,75.0,26.0,0.005,-28.887230271824603,0.008065983925853629,4.667754988516663,0.5579190470000001,0.006811623464809043,12.312543905005914,2.5034093280778036,0.32368474703890526,2499.999479889768,6.645959377288818,8.30448055267334,-36.04081887036697,-29.888005173971393,
Fan_sim_sweep,70.0,26.0,0.005,-25.83254794370689,0.00818937913799793,4.401706572200001,0.625053011,0.006915829192245855,11.841093207991964,2.5385676428456927,0.3206377558958311,2499.999479889768,5.984541893005371,7.534347057342529,-31.52894113606684,-25.67669389112547,
Fan_sim_sweep,65.0,26.0,0.005,-22.397305881274825,0.007740865111331876,4.407008699183334,0.622865408,0.006537064655095956,10.396499784864645,2.400218584951268,0.2871998777006537,2499.999479889768,6.571094036102295,7.504345417022705,-26.79320510791535,-21.995310181635947,
Fan_sim_sweep,60.0,26.0,0.005,-19.8447434589117,0.007503230224794794,4.7110692413833375,0.576288504,0.006336384938390233,3.647254414342747,2.327791403314496,0.30819279374056313,2499.999479889768,7.369632720947266,6.924227237701416,-23.518007149413123,-20.165530078216378,
Fan_sim_sweep,55.0,26.0,0.005,-18.290206690779293,0.007167430457716343,5.94363835158334,0.994216906,0.006052806196610516,-2.0268099144922296,2.2193199562363213,0.3173380318719066,2499.999479889768,7.330862998962402,7.056536674499512,-21.038053281940172,-19.072719507848028,
Fan_sim_sweep,50.0,26.0,0.005,-22.52658881397669,0.007078824110759366,11.426436621116693,0.471899288,0.005977979234691015,-0.1942561942779122,2.1970965836599667,0.3151720779443191,2499.999479889768,6.547295093536377,8.14671516418457,-25.656349410609884,-21.367685597194708,
